Day,CourseTime,101,102,103
1.0,1.0,升旗,语文,数学
1.0,2.0,英语,语文,物理
1.0,3.0,数学,美术,体育
1.0,4.0,语文,历史,自习
1.0,5.0,自习,数学,物理
1.0,6.0,体育,数学,物理
1.0,7.0,语文,英语,数学
1.0,8.0,历史,数学,英语
1.0,9.0,语文,英语,美术
1.0,10.0,心理健康,自习,数学
1.0,11.0,英语,物理,历史
1.0,12.0,英语,语文,化学
1.0,13.0,选课,选课,选课
2.0,1.0,选课,选课,选课
2.0,2.0,信息技术,物理,通用技术
2.0,3.0,英语,语文,数学
2.0,4.0,体育,物理,英语
2.0,5.0,数学,自习,英语
2.0,6.0,英语,信息技术,音乐
2.0,7.0,数学,音乐,化学
2.0,8.0,数学,物理,化学
2.0,9.0,自习,通用技术,信息技术
2.0,10.0,信息技术,英语,音乐
2.0,11.0,英语,数学,物理
2.0,12.0,化学,数学,物理
2.0,13.0,合格考1,合格考1,合格考1
3.0,1.0,语文,英语,数学
3.0,2.0,物理,数学,历史
3.0,3.0,英语,历史,数学
3.0,4.0,语文,体育,数学
3.0,5.0,英语,数学,历史
3.0,6.0,自习,物理,语文
3.0,7.0,英语,心理健康,物理
3.0,8.0,生命安全,英语,语文
3.0,9.0,语文,自习,历史
3.0,10.0,数学,自习,美术
3.0,11.0,选课,选课,选课
3.0,12.0,化学,语文,物理
3.0,13.0,数学,英语,语文
4.0,1.0,数学,化学,语文
4.0,2.0,英语,物理,语文
4.0,3.0,数学,美术,语文
4.0,4.0,选课,选课,选课
4.0,5.0,物理,英语,自习
4.0,6.0,英语,语文,化学
4.0,7.0,美术,历史,物理
4.0,8.0,语文,化学,体育
4.0,9.0,物理,音乐,数学
4.0,10.0,音乐,英语,自习
4.0,11.0,物理,化学,数学
4.0,12.0,英语,物理,数学
4.0,13.0,化学,数学,英语
5.0,1.0,语文,物理,历史
5.0,2.0,数学,英语,历史
5.0,3.0,合格考2,合格考2,合格考2
5.0,4.0,历史,英语,物理
5.0,5.0,语文,化学,英语
5.0,6.0,选课,选课,选课
5.0,7.0,数学,语文,物理
5.0,8.0,数学,英语,化学
5.0,9.0,选课,选课,选课
5.0,10.0,化学,自习,物理
5.0,11.0,选课,选课,选课
5.0,12.0,语文,物理,化学
5.0,13.0,物理,化学,英语
6.0,1.0,数学,历史,化学
6.0,2.0,语文,英语,数学
6.0,3.0,选课,选课,选课
6.0,4.0,选课,选课,选课
6.0,5.0,数学,通用技术,语文
6.0,6.0,数学,英语,美术
6.0,7.0,历史,语文,数学
6.0,8.0,美术,英语,历史
6.0,9.0,音乐,化学,英语
6.0,10.0,体育,化学,数学
6.0,11.0,化学,物理,英语
6.0,12.0,选课,选课,选课
6.0,13.0,英语,物理,历史
7.0,1.0,英语,数学,化学
7.0,2.0,选课,选课,选课
7.0,3.0,英语,化学,通用技术
7.0,4.0,选课,选课,选课
7.0,5.0,化学,数学,语文
7.0,6.0,语文,体育,英语
7.0,7.0,自习,数学,化学
7.0,8.0,选课,选课,选课
7.0,9.0,物理,自习,音乐
7.0,10.0,数学,美术,物理
7.0,11.0,历史,英语,语文
7.0,12.0,数学,英语,物理
7.0,13.0,物理,语文,化学
8.0,1.0,选课,选课,选课
8.0,2.0,物理,英语,数学
8.0,3.0,数学,化学,物理
8.0,4.0,合格考2,合格考2,合格考2
8.0,5.0,数学,语文,英语
8.0,6.0,音乐,英语,数学
8.0,7.0,英语,美术,历史
8.0,8.0,音乐,语文,化学
8.0,9.0,自习,英语,数学
8.0,10.0,数学,物理,英语
8.0,11.0,历史,化学,语文
8.0,12.0,化学,物理,英语
8.0,13.0,选课,选课,选课
9.0,1.0,语文,历史,数学
9.0,2.0,自习,化学,英语
9.0,3.0,选课,选课,选课
9.0,4.0,数学,英语,物理
9.0,5.0,物理,历史,数学
9.0,6.0,选课,选课,选课
9.0,7.0,数学,语文,心理健康
9.0,8.0,物理,历史,英语
9.0,9.0,物理,语文,体育
9.0,10.0,英语,音乐,劳动教育
9.0,11.0,历史,语文,化学
9.0,12.0,选课,选课,选课
9.0,13.0,英语,化学,历史
10.0,1.0,合格考1,合格考1,合格考1
10.0,2.0,物理,数学,英语
10.0,3.0,合格考1,合格考1,合格考1
10.0,4.0,物理,数学,自习
10.0,5.0,英语,化学,物理
10.0,6.0,通用技术,英语,语文
10.0,7.0,物理,自习,信息技术
10.0,8.0,历史,化学,英语
10.0,9.0,语文,体育,自习
10.0,10.0,选课,选课,选课
10.0,11.0,数学,语文,化学
10.0,12.0,语文,数学,物理
10.0,13.0,选课,选课,选课
11.0,1.0,选课,选课,选课
11.0,2.0,物理,数学,化学
11.0,3.0,选课,选课,选课
11.0,4.0,选课,选课,选课
11.0,5.0,数学,语文,自习
11.0,6.0,自习,物理,英语
11.0,7.0,英语,化学,数学
11.0,8.0,英语,物理,音乐
11.0,9.0,物理,数学,自习
11.0,10.0,物理,体育,语文
11.0,11.0,数学,物理,英语
11.0,12.0,英语,语文,数学
11.0,13.0,历史,数学,英语
12.0,1.0,选课,选课,选课
12.0,2.0,选课,选课,选课
12.0,3.0,合格考1,合格考1,合格考1
12.0,4.0,数学,物理,语文
12.0,5.0,物理,数学,语文
12.0,6.0,语文,物理,数学
12.0,7.0,化学,数学,语文
12.0,8.0,劳动教育,语文,物理
12.0,9.0,数学,化学,英语
12.0,10.0,自习,英语,数学
12.0,11.0,化学,数学,物理
12.0,12.0,语文,物理,数学
12.0,13.0,语文,化学,历史
,,化学,数学,nan
